ProductionVolume,ProductionCost,SupplierQuality,DefectRate,QualityScore,MaintenanceHours,AdditiveMaterialCost,DefectStatus
202,13175.40378,86.64853384,3.121492267,63.46349433,9,236.439301,1
535,19770.04609,86.31066361,0.819530511,83.69781763,20,353.9576312,1
960,19060.821,82.13247238,4.514504071,90.35055003,1,396.1894021,1
370,5647.606037,87.33596641,0.63852396,67.62869012,8,164.1358699,1
206,7472.222236,81.98989338,3.867783603,82.72833363,9,365.7089636,1
171,6975.931602,95.33191889,3.914573642,92.56843594,19,171.7118039,1
800,15889.69865,99.32548595,4.788999884,90.72991111,10,188.7277374,1
120,17266.77995,99.40148913,0.743604838,92.11968071,13,312.5268961,1
714,8202.670495,97.30142199,3.185855874,95.17293699,2,215.6809208,1
221,12587.79039,92.01584299,2.425282568,97.50728409,0,364.6381765,0
566,17610.54542,94.01731394,1.987848297,76.22084621,6,482.3106497,0
314,15992.02317,85.70411605,0.906433521,82.7507641,3,159.5568805,0
430,13133.55808,92.6154084,3.031943539,91.62638104,6,328.2043329,1
558,13855.21536,89.11299099,2.655683266,87.88559256,15,469.3196731,1
187,12625.4082,89.6403468,0.970495062,99.82080913,9,170.6115907,0
472,9463.22677,95.15553121,3.256202782,60.54710604,14,246.7403614,1
199,13475.32989,85.63836711,3.820789041,74.20532861,15,149.446734,1
971,15333.27953,86.36079223,3.952752355,71.24111705,5,356.8150873,1
763,18099.84374,98.49283582,4.574179347,70.49263401,3,367.6571711,1
230,14544.37031,81.1244859,2.342618338,68.9011913,3,365.6729278,1
761,16416.82306,89.71268597,4.788827459,88.36495363,23,316.8508193,1
408,7401.074524,98.25601601,4.394432323,63.39037893,22,398.5043471,1
869,11923.36212,92.20726016,1.83425707,89.66435336,3,114.3509186,1
443,5139.974297,90.92814148,1.216773668,87.73703368,21,483.005395,1
591,8700.182968,84.99488358,2.459252283,70.0321653,21,188.8384832,1
513,15896.92573,86.86550978,2.308544186,70.11335133,16,148.6247875,1
905,19877.14927,97.04096832,3.090736874,85.15442341,12,476.4544172,1
